genre,count
Indie,75751
Adventure,44422
Simulator,25711
Strategy,23647
Role-playing (RPG),16790
Puzzle,6909
Shooter,5692
Sport,5490
Platform,4761
Racing,4644
Arcade,4435
Visual Novel,2118
Turn-based strategy (TBS),1524
Point-and-click,1522
Fighting,1328
Tactical,1276
Hack and slash/Beat 'em up,1247
Real Time Strategy (RTS),1193
Card & Board Game,1148
Music,575
Pinball,169
Quiz/Trivia,130
MOBA,76
