Owners,AppID,Name,Type,Changed,Kinguin,Achievements
30.81%,216250,Dead Island Riptide,Delisted,06/2016,6.05,?
30.80%,4540,Titan Quest,Delisted,09/2016,3.27,?
30.65%,285050,Showtime!,Delisted,05/2018,1.78,?
30.61%,13210,Unreal Tournament 3: Black Edition,Purchase disabled,12/2022,,57
30.60%,259740,Nightmares from the Deep: The Cursed Heart,Purchase disabled,12/2021,,15
30.07%,553210,"Warhammer 40,000: Space Wolf",Purchase disabled,10/2023,,79
30.00%,237110,Mortal Kombat Komplete Edition,Purchase disabled,03/2020,11.86,50
29.86%,378860,Project CARS 2,Purchase disabled,09/2022,,47
29.85%,1662740,RunnerDot,Purchase disabled,08/2021,,2
29.59%,355840,Survarium,F2P (unavailable),06/2022,,73
29.58%,1097150,Fall Guys,Purchase disabled,06/2022,,34
29.53%,375230,"Warhammer 40,000: Eternal Crusade",F2P (unavailable),06/2021,,67
29.43%,448640,Elements II: Hearts of Light,Purchase disabled,10/2018,4.32,52
29.39%,461910,Forge of Gods (RPG),F2P (unavailable),04/2020,,58
29.35%,205350,Mortal Kombat Kollection,Delisted,10/2015,4.21,0
29.04%,206210,Gotham City Impostors: Free To Play,F2P (unavailable),08/2021,,412
28.85%,868270,The Cycle: Frontier,F2P (unavailable),09/2023,,?
28.82%,278910,Interplanetary,Purchase disabled,05/2023,,25
28.75%,399100,Spheroid,Purchase disabled,03/2020,1.16,0
28.59%,224600,Defiance,F2P (unavailable),04/2021,,0
28.57%,274620,Skara - The Blade Remains,F2P (unavailable),12/2018,1.46,0
28.41%,328600,Frozen Synapse Prime,Purchase disabled,12/2020,2.04,30
28.34%,570460,Laser League: World Arena,F2P (unavailable),06/2023,2.92,24
28.29%,997070,Marvel's Avengers - The Definitive Edition,Purchase disabled,09/2023,,50
28.27%,530700,Argo,F2P (unavailable),12/2021,,0
28.22%,421020,DiRT 4,Purchase disabled,11/2022,,48
28.13%,310450,Steel & Steam: Episode 1,Purchase disabled,03/2016,1.56,0
28.10%,284810,Nightmares from the Deep 3: Davy Jones,Purchase disabled,12/2021,,32
27.98%,13230,Unreal Tournament 2004,Purchase disabled,12/2022,,0
27.96%,13240,Unreal Tournament: Game of the Year Edition,Purchase disabled,12/2022,,0
27.83%,225140,Duke Nukem 3D: Megaton Edition,Delisted,02/2016,217.39,?
27.80%,50650,Darksiders II,Delisted,11/2015,,50
27.77%,382570,Glass Wing,Purchase disabled,03/2020,3.01,0
27.72%,11330,Obulis,Purchase disabled,11/2020,7.17,17
27.56%,284790,Nightmares from the Deep 2: The Siren`s Call,Purchase disabled,12/2021,,29
27.43%,257890,Frozen Hearth,Delisted,12/2016,2.14,?
27.23%,356050,Beyond Eyes,Purchase disabled,09/2021,0.84,10
27.14%,13200,Unreal II: The Awakening,Purchase disabled,12/2022,,0
27.12%,255220,GRID Autosport,Purchase disabled,07/2020,4.71,60
27.11%,268420,Aura Kingdom,F2P (unavailable),10/2022,,0
27.00%,263280,Spintires©,Delisted,06/2022,1.31,77
26.87%,201830,Jurassic Park: The Game,Purchase disabled,11/2018,6.66,51
26.84%,260270,Shadows: Price For Our Sins,Delisted,08/2021,,0
26.79%,208090,Loadout,F2P (unavailable),05/2018,,28
26.58%,8260,Sam & Max 201: Ice Station Santa,Purchase disabled,12/2021,,0
26.58%,8280,Sam & Max 203: Night of the Raving Dead,Purchase disabled,12/2021,,0
26.57%,8270,Sam & Max 202: Moai Better Blues,Purchase disabled,12/2021,,0
26.57%,8290,Sam & Max 204: Chariots of the Dogs,Purchase disabled,12/2021,,0
26.57%,8300,Sam & Max 205: What's New Beelzebub?,Purchase disabled,12/2021,,0
26.56%,28050,Deus Ex: Human Revolution,Delisted,10/2013,9.28,?
26.54%,42160,War of the Roses,F2P (unavailable),01/2017,,?
26.38%,11360,Chains,Purchase disabled,10/2023,,0
26.36%,8200,Sam & Max 101: Culture Shock,Purchase disabled,11/2020,,0
26.36%,8210,Sam & Max 102: Situation: Comedy,Purchase disabled,11/2020,,0
26.36%,8220,"Sam & Max 103: The Mole, the Mob and the Meatball",Purchase disabled,11/2020,,0
26.35%,8240,Sam & Max 105: Reality 2.0,Purchase disabled,11/2020,,0
26.35%,8250,Sam & Max 106: Bright Side of the Moon,Purchase disabled,11/2020,,0
26.15%,258200,Talisman: Prologue,Purchase disabled,12/2019,1.04,0
26.03%,228400,ACE COMBAT? ASSAULT HORIZON Enhanced Edition,Purchase disabled,12/2018,27.24,50
26.02%,358610,Exowar,Purchase disabled,08/2020,1.21,0
25.89%,203810,Dear Esther,Purchase disabled,02/2017,,0
25.52%,107800,Rochard,Purchase disabled,02/2021,1.53,18
25.42%,555440,Deathgarden: BLOODHARVEST,F2P (unavailable),07/2020,4.21,5
25.32%,286500,"House of 1,000 Doors - Family Secrets",Delisted,04/2019,1.49,0
25.31%,204080,The Showdown Effect,Delisted,08/2018,1.97,25
25.30%,443080,Elite Dangerous: Arena,Delisted,02/2017,,?
25.26%,72200,Universe Sandbox Legacy,Purchase disabled,11/2016,17.98,16
25.18%,285580,ACE - Arena: Cyber Evolution,F2P (unavailable),10/2018,,0
25.16%,330840,Game of Thrones - A Telltale Games Series,Purchase disabled,04/2019,35.85,48
25.15%,327070,Gloria Victis,Purchase disabled,09/2023,,85
24.97%,766370,Dying Light: Bad Blood,Purchase disabled,01/2020,0.52,0
24.94%,302120,House of 1000 Doors: The Palm of Zoroaster Collector's Edition,Delisted,04/2019,1.56,0
24.93%,509840,El Ninja (Beta),Delisted,01/2017,,?
24.75%,209520,Mini Motor Racing EVO,Purchase disabled,12/2019,2.34,20
24.75%,266940,Alex Hunter - Lord of the Mind,Delisted,04/2019,0.98,0
24.57%,240200,Duke Nukem: Manhattan Project,Delisted,12/2015,6.78,?
24.52%,709440,Override,Purchase disabled,10/2022,,43
24.43%,104700,Super Monday Night Combat,F2P (unavailable),04/2018,,4
24.40%,47870,Need for Speed: Hot Pursuit,Purchase disabled,10/2020,22.32,0
24.20%,344790,Mystery Masters: Psycho Train Deluxe Edition,Delisted,04/2019,0.93,0
24.09%,2340,Quake II: Ground Zero,Purchase disabled,08/2022,,0
24.09%,2330,Quake II: The Reckoning,Purchase disabled,08/2022,,0
24.04%,8310,Bone: Out from Boneville,Purchase disabled,05/2019,3.74,0
24.04%,8320,Bone: The Great Cow Race,Purchase disabled,05/2019,3.72,0
23.83%,9040,Quake Mission Pack 1: Scourge of Armagon,Purchase disabled,08/2021,1.37,0
23.82%,400020,Atari Vault,Purchase disabled,11/2022,,24
23.80%,9030,Quake Mission Pack 2: Dissolution of Eternity,Purchase disabled,08/2021,1.37,0
23.63%,364270,Lilly and Sasha: Curse of the Immortals,Purchase disabled,05/2023,,0
23.58%,17450,Dragon Age: Origins,Purchase disabled,05/2022,,0
23.45%,514970,Drive Megapolis,Purchase disabled,09/2018,3.5,0
23.42%,407730,Dungeons Of Kragmor,Delisted,09/2016,,?
23.41%,3970,Prey,Delisted,12/2009,1.63,0
23.38%,473800,Bullet Life 2010,Purchase disabled,03/2020,,0
23.29%,295550,Royal Quest,F2P (unavailable),12/2020,,323
23.08%,258910,Citizens of Earth,Purchase disabled,07/2023,,50
22.99%,360130,Cloud Knights,Delisted,04/2017,7.54,?
22.90%,207040,Sine Mora,Purchase disabled,08/2017,5.17,10
22.87%,467010,Fall of Civilization,Purchase disabled,07/2018,0.72,6
22.85%,1080110,F1 2020,Purchase disabled,03/2023,,50
22.81%,340820,Yelaxot,Delisted,05/2017,,23
22.80%,489890,Puzzles At Mystery Manor,Delisted,10/2020,,0
22.71%,372260,Weird Park Trilogy,Delisted,04/2019,1.06,0
22.67%,206980,War of the Roses Balance Beta,Test app,01/2015,,?
22.67%,545270,NBA Playgrounds,Purchase disabled,10/2018,1.6,13
22.52%,394230,Battleborn,F2P (unavailable),06/2022,,60
22.51%,575550,Hell Girls,Purchase disabled,02/2022,,92
22.45%,686600,Rapture Rejects,Purchase disabled,08/2021,0.7,0
22.30%,398630,Twisted Lands Trilogy Collector's Edition,Delisted,04/2019,0.95,0
