Owners,AppID,Name,Type,Changed,Kinguin,Achievements
7.94%,2257900,When All Guys Turned into Girls,F2P (unavailable),05/2023,,?
7.94%,513970,Alpha Decay,Delisted,07/2017,3.72,25
7.94%,679270,Antaria Online R,Purchase disabled,08/2021,,51
7.94%,1059380,Dollhouse Open Beta,Test app,04/2019,,?
7.93%,427040,Pitstop Challenge,Purchase disabled,03/2022,,0
7.93%,534820,Heroes Evolved,F2P (unavailable),10/2021,,0
7.93%,1328190,BATTLESHIP APOLLO,F2P (unavailable),01/2023,,?
7.92%,209390,Dungeonbowl Knockout Edition,Purchase disabled,12/2019,8.62,32
7.92%,404150,Lovely Weather We're Having,Purchase disabled,06/2020,,0
7.92%,548950,Fallen Mage,Delisted,07/2017,1.72,?
7.92%,773340,WingMen,Purchase disabled,05/2018,4.27,0
7.90%,891520,Tranquil Garden,F2P (unavailable),06/2023,,?
7.89%,733610,Tales of Winds: Tomb of the Sol Empire,Purchase disabled,09/2021,,0
7.87%,2173180,Jack,F2P (unavailable),09/2023,,?
7.87%,1614920,BricksVR,F2P (unavailable),03/2023,,?
7.87%,1963500,Climber: Sky is the Limit - Free Trial,F2P (unavailable),02/2023,,?
7.87%,2214370,????,F2P (unavailable),06/2023,,?
7.85%,1316610,Covid-19 - Corona Clicker,F2P (unavailable),02/2023,,?
7.84%,512610,Gochi-Show! for Girls,Purchase disabled,05/2021,295.9,0
7.84%,1685560,Chimes,F2P (unavailable),07/2022,,12
7.84%,2106540,Three Quarters Space Station,F2P (unavailable),07/2023,,?
7.84%,470030,Just Bones,Purchase disabled,07/2018,,14
7.84%,475250,Ashbourne,Delisted,07/2017,,15
7.84%,760400,Audio Drive Storm,F2P (unavailable),09/2021,,0
7.81%,1253950,Dreamscaper: Prologue,F2P (unavailable),02/2021,,13
7.81%,1964880,Annum,F2P (unavailable),07/2023,,?
7.79%,2304670,Ash of Gods: The Way Prologue,F2P (unavailable),04/2023,,5
7.79%,1760080,NSFW Studio,F2P (unavailable),01/2023,,?
7.78%,213850,Magic 2014,Purchase disabled,12/2020,175.89,38
7.77%,851000,Achievement Machine,Purchase disabled,03/2022,,5000
7.77%,1736570,Deflector: Specimen Zero,F2P (unavailable),11/2022,,?
7.76%,218330,Smashmuck Champions,F2P (unavailable),06/2016,,0
7.75%,1421960,HordeCore Prologue,F2P (unavailable),02/2022,,11
7.74%,1832930,World Nations Game,F2P (unavailable),04/2022,,16
7.73%,587390,LOR - League of Runners,Purchase disabled,12/2019,3.71,9
7.72%,854110,AFTER-H,F2P (unavailable),01/2022,,?
7.69%,272490,Brick-Force (US),F2P (unavailable),06/2021,,?
7.69%,1065160,Deatherem,F2P (unavailable),12/2020,,1
7.69%,333530,AERENA - Masters Edition,Delisted,,13.8,?
7.69%,397360,Magician's Apprentice,F2P (unavailable),01/2020,,0
7.68%,37010,Ninja Blade,Purchase disabled,04/2022,,0
7.68%,451230,Wartune,F2P (unavailable),11/2020,,0
7.66%,399660,Battle Battalions,F2P (unavailable),05/2018,,15
7.66%,691060,Orphan's Treasure,Delisted,03/2018,,?
7.66%,867090,????VR / TSUN-TSUN VR,F2P (unavailable),06/2022,,0
7.65%,486840,War Truck Simulator,Delisted,07/2017,,?
7.65%,885180,Boobserman,Delisted,10/2019,66.01,15
7.64%,514550,Beat The Dictators,Purchase disabled,11/2020,2.28,0
7.63%,603080,Chronicles of a Dark Lord: Tides of Fate Remastered,Purchase disabled,03/2020,,0
7.63%,1931060,??????,F2P (unavailable),10/2022,,?
7.62%,607200,Tanki X,F2P (unavailable),12/2019,,0
7.62%,819500,Fear The Wolves,Purchase disabled,06/2023,,22
7.62%,869750,Super Chicken Catchers,Purchase disabled,04/2023,,?
7.61%,2065530,Chicken Fall Prologue,F2P (unavailable),04/2023,,?
7.61%,551680,Bad birthday,Purchase disabled,12/2019,12.54,0
7.61%,1873830,Bouldeurdache,F2P (unavailable),02/2023,,12
7.61%,2070390,Spellbook Demonslayers Prologue,F2P (unavailable),11/2022,,2
7.59%,935270,Great Hero's Beard,Purchase disabled,10/2021,,27
7.59%,984220,Alien-911,F2P (unavailable),07/2021,,15
7.58%,563570,Tyrfing Cycle,Delisted,02/2018,,14
7.58%,621050,Crazy Veggies,Purchase disabled,12/2022,,17
7.57%,1339220,Matt's Project Zombies: Open World,F2P (unavailable),04/2023,,14
7.57%,1754050,Big Cat from Hell,F2P (unavailable),04/2022,,10
7.56%,219870,Football Superstars,F2P (unavailable),,,?
7.56%,1872760,Spirit Detective,F2P (unavailable),12/2022,,?
7.56%,2016640,Lovers Anonymous Rehab for Romantics,F2P (unavailable),12/2022,,?
7.56%,431360,The Legend: A University Story,Purchase disabled,07/2017,1.87,0
7.56%,1274450,Bear Party: Adventure,F2P (unavailable),09/2021,,?
7.56%,1697400,House of Sin,F2P (unavailable),11/2022,,?
7.56%,2450540,Mango's Wonderland,F2P (unavailable),09/2023,,?
7.55%,1258970,LunarLux Chapter 1,F2P (unavailable),06/2022,,?
7.54%,220050,The Walking Dead?: Survival Instinct,Delisted,,31.08,?
7.54%,383070,The Fleets of Sol,Purchase disabled,01/2019,,9
7.53%,325600,Sword Coast Legends,Delisted,01/2018,,39
7.53%,2059400,Kenomaze,F2P (unavailable),08/2023,,?
7.53%,347080,Naught Reawakening,Purchase disabled,07/2020,6.21,49
7.53%,822770,TSOTF,Purchase disabled,01/2023,,8
7.53%,2195920,Heavy Burden: Prologue,F2P (unavailable),09/2023,,?
7.52%,574910,The Bits That Saved The Universe,Purchase disabled,09/2022,,0
7.52%,1087730,Iron Blade,F2P (unavailable),06/2022,,18
7.52%,1137180,????? Kaki Raid,F2P (unavailable),09/2021,,48
7.51%,214190,Minimum,Purchase disabled,04/2017,4.68,7
7.51%,71390,Virtua Tennis 4,Purchase disabled,11/2019,75.26,0
7.51%,504730,MOBIUS FINAL FANTASY,F2P (unavailable),06/2020,,?
7.49%,339900,One Night,Delisted,,,?
7.49%,1833050,Midnight Submersion Nightmare Horror Story Prologue,Purchase disabled,05/2023,,?
7.49%,1935110,??:X,F2P (unavailable),09/2022,,?
7.48%,1788540,No man`s Island Prologue,F2P (unavailable),05/2023,,?
7.48%,1100620,Football Manager 2020 Touch,Purchase disabled,12/2020,,114
7.48%,1937220,????Fishing Kingdom,Purchase disabled,02/2023,,?
7.47%,752300,Forestation,Purchase disabled,01/2022,,17
7.46%,1804630,Outbreak Island: Pendulum,F2P (unavailable),12/2022,,?
7.46%,2252420,Propaganda Inc.,F2P (unavailable),08/2023,,?
7.45%,497270,MIGHT,Purchase disabled,02/2017,1.31,0
7.45%,862660,Football Girls: Dream Team,Delisted,10/2019,27.7,40
7.45%,1251190,Dragon and Weed: Origins - Prologue,F2P (unavailable),05/2022,,?
7.45%,1719870,????,F2P (unavailable),10/2022,,?
7.45%,1608170,Zodiac,F2P (unavailable),12/2022,,?
7.43%,1100600,Football Manager 2020,Purchase disabled,06/2021,25.63,97
7.43%,1223680,Mad Ball,F2P (unavailable),04/2023,,?
7.43%,1798140,??????,F2P (unavailable),01/2023,,?
7.42%,1598350,Antonball Deluxe Lite,F2P (unavailable),11/2022,,?
7.41%,251390,Call of Cthulhu: The Wasted Land,Purchase disabled,,102.31,22
7.41%,962070,Angry King,Purchase disabled,12/2018,,?
7.41%,1434610,Darkzone,F2P (unavailable),03/2023,,?
7.40%,366860,Spy Bugs,Purchase disabled,10/2020,4.95,23
7.39%,264260,Global Outbreak: Doomsday Edition,Purchase disabled,02/2022,,27
7.39%,751240,Fractured Lands,Purchase disabled,04/2023,,0
7.39%,754020,Galactic Harvester,Purchase disabled,01/2020,26.18,14
7.38%,1138080,Landlord Girls,Purchase disabled,02/2023,,21
7.38%,1200280,Bottler3000,F2P (unavailable),07/2022,,?
7.37%,334290,Gates of Horizon,F2P (unavailable),01/2019,3.7,0
7.37%,953250,War Machines,F2P (unavailable),08/2021,,?
7.37%,1620690,Rubber Bandits: Summer Prologue,F2P (unavailable),12/2021,,?
7.37%,1834340,Unmetaverse,F2P (unavailable),09/2022,,11
7.37%,2337890,Time Survivors: Prologue,F2P (unavailable),10/2023,,?
7.36%,285030,Actua Soccer 3,Delisted,,24.55,?
7.36%,510630,Soccer Manager 2017,F2P (unavailable),01/2020,,0
7.35%,375720,Tuk Ruk,Delisted,09/2016,,?
7.35%,444860,Split,Delisted,10/2017,,15
7.35%,520820,Dawn's Light,Purchase disabled,05/2023,,0
7.35%,740190,Mistake Souls,Delisted,03/2018,,?
7.35%,2298530,Gehinnom: Prologue,F2P (unavailable),08/2023,,?
7.34%,1334760,CRASH: Autodrive - Prologue,F2P (unavailable),11/2022,,?
7.33%,354910,Indie Fight,Delisted,08/2017,,?
7.33%,589260,Nice Slice,Purchase disabled,03/2021,,30
7.32%,421110,AWAKE,F2P (unavailable),05/2020,,0
7.32%,890110,Deicide,F2P (unavailable),08/2022,,?
7.30%,2189740,Little Duty 1,F2P (unavailable),07/2023,,?
7.30%,1441880,NEO 2045,F2P (unavailable),01/2023,,?
7.30%,1469250,Rubber Bandits: Christmas Prologue,F2P (unavailable),12/2021,,?
7.30%,2196070,Time Lock VR-episode Lumber Room,F2P (unavailable),09/2023,,?
7.29%,421180,Umbra: Shadow of Death,F2P (unavailable),11/2019,,32
7.27%,1604260,Eternal Evil Prologue,F2P (unavailable),05/2022,,?
7.27%,1275380,Notruf 112 - Die Feuerwehr Simulation 2: Showroom,F2P (unavailable),05/2022,,0
7.26%,256050,Adventure Park,Delisted,06/2018,,?
7.25%,2327940,Digs: Prologue,F2P (unavailable),10/2023,,?
7.25%,513300,Schacht,Purchase disabled,04/2022,,24
7.24%,517110,Cards of Chaos,Purchase disabled,02/2021,6.79,7
7.24%,745550,The Valley In My Mind,F2P (unavailable),05/2019,4.14,0
7.24%,1755120,Ghosts of war,F2P (unavailable),09/2022,,?
7.23%,267790,DARK BLOOD ONLINE,F2P (unavailable),10/2019,,?
7.22%,849920,Dungeon Quest,Purchase disabled,04/2021,,26
7.22%,2435930,Eventide,F2P (unavailable),08/2023,,?
7.21%,810540,Monsters Attack,Purchase disabled,12/2019,,10
7.20%,999730,Secret Neighbor Beta,Test app,04/2021,,10
7.19%,338930,TRANSFORMERS: Devastation,Purchase disabled,05/2023,110.46,30
7.19%,2056250,You are the weapon,F2P (unavailable),05/2023,,?
7.18%,344240,Man O' War: Corsair,Purchase disabled,02/2021,4.05,60
7.18%,1210360,War Trigger 3,F2P (unavailable),06/2022,,?
7.18%,1714620,Blocktopia,F2P (unavailable),02/2023,,?
7.18%,2393660,CHARGED: RC Racing - Starter Edition,F2P (unavailable),10/2023,,?
7.17%,832550,Tetripank,Purchase disabled,02/2022,,0
7.17%,1271140,HUMANKIND? - Closed Beta,Test app,05/2021,,?
7.17%,243320,Rekoil,Delisted,,11.94,?
7.17%,957350,Rogue Rails,F2P (unavailable),11/2021,,21
7.17%,1869220,DYMENSION Prologue:Scary Horror Survival Shooter,F2P (unavailable),11/2022,,?
7.16%,803360,Hide The Body,Purchase disabled,02/2023,,0
7.16%,1390480,Never BreakUp Beta,F2P (unavailable),06/2022,,17
7.16%,1532840,Annual Intruders,F2P (unavailable),06/2022,,6
7.15%,838420,Longboard Stunts and Tricks,Purchase disabled,01/2022,,10
7.15%,1292220,Apoc Runner,F2P (unavailable),10/2021,,6
7.14%,682420,DimensionsVS,F2P (unavailable),02/2022,,0
7.14%,719610,Free Bowling 3D,Purchase disabled,11/2018,,9
7.14%,1422300,IWOCon 2021,F2P (unavailable),03/2022,,28
7.14%,1817380,Erebe,F2P (unavailable),06/2023,,?
7.14%,675230,Secondhand Lands,F2P (unavailable),11/2021,,18
7.11%,870000,AmazeD 3D,Purchase disabled,07/2019,12.2,10
7.11%,978840,Nanobotic,F2P (unavailable),06/2022,,?
7.09%,312270,Siege of Inaolia,Delisted,01/2017,,?
7.09%,626200,Dead Alliance?,Purchase disabled,12/2022,,44
7.09%,2096470,??,F2P (unavailable),10/2023,,?
7.09%,2245920,Gezeichnet - Unsere Flucht 1945,F2P (unavailable),05/2023,,?
7.09%,697010,Until None Remain,Purchase disabled,07/2018,1.67,11
7.09%,973130,Ecchi 2: compile 2D chan,Purchase disabled,12/2018,,0
7.08%,906200,Tunche: Arena,F2P (unavailable),03/2021,,24
7.08%,929330,Defending Camelot,Purchase disabled,04/2023,,37
7.08%,989000,Ruthless Water,F2P (unavailable),04/2022,,?
7.07%,707680,Slapshot,F2P (unavailable),03/2021,,0
7.06%,1136880,Baby Walking Simulator,F2P (unavailable),12/2022,,4
7.06%,2209550,Disfigure: Prologue,F2P (unavailable),07/2023,,?
7.04%,577700,THE VIDEOKID,Purchase disabled,11/2022,,19
7.04%,1433330,Happy's Humble Burger Farm Alpha,F2P (unavailable),09/2021,,7
7.04%,1855830,We Are One Prologue,F2P (unavailable),05/2023,,?
7.04%,458960,Winning Putt: Golf Online,F2P (unavailable),12/2018,,37
7.03%,1053060,KillStreak.tv,F2P (unavailable),10/2021,,?
7.02%,245760,TRANSFORMERS: Rise of the Dark Spark,Delisted,12/2017,33.03,50
7.02%,364110,Swordsman,F2P (unavailable),03/2017,,?
7.02%,1655660,Runeverse: Sea Brawls,F2P (unavailable),10/2022,,?
7.02%,1810240,Do Something,F2P (unavailable),09/2022,,?
7.01%,725400,Forest Escape,Purchase disabled,11/2018,,7
7.01%,851010,Airplane Sky Voyage,Purchase disabled,03/2022,,7
7.00%,777640,Lightform,Purchase disabled,01/2022,,10
6.99%,360610,"Houston, we have a problem",Delisted,,,?
6.99%,436350,Spellblast,Delisted,07/2016,,?
6.99%,1825340,Deflector: Specimen One,F2P (unavailable),11/2022,,?
6.99%,457230,Atlas Reactor VR Character Viewer,F2P (unavailable),07/2019,,0
6.99%,565880,Frozen Drift Race,Delisted,07/2017,1.73,?
6.98%,27330,Blacklight: Tango Down,Purchase disabled,07/2020,14.52,12
6.98%,894900,Speedy Girls - Dream Team,Delisted,10/2019,80.77,15
6.97%,65710,Pat & Mat,Purchase disabled,07/2020,,0
6.97%,815250,Magic League,Purchase disabled,01/2022,,30
6.97%,2356690,Holmes Sherlock & Mycroft,F2P (unavailable),08/2023,,?
6.96%,895150,Endless Battle,F2P (unavailable),04/2022,,?
6.96%,970620,Castle Rencounter,Purchase disabled,12/2018,,?
6.96%,1222130,Battlecraft,F2P (unavailable),01/2022,,?
6.95%,412860,Zombie Office Politics,Delisted,06/2019,,11
6.95%,469830,Fable Fortune,F2P (unavailable),01/2020,,0
6.95%,994590,Pixel Fish,F2P (unavailable),05/2022,,?
6.95%,1306100,Ezaron Defense Alpha,F2P (unavailable),03/2022,,?
6.94%,688110,BlockGame,Purchase disabled,05/2022,,16
6.94%,703950,Just Fishing,F2P (unavailable),01/2021,,46
6.94%,348820,FIM Speedway Grand Prix 15,Purchase disabled,02/2021,13.04,35
6.94%,1249520,SCP: Recontainment,Unreleased,11/2022,,?
6.91%,648340,Harald,Purchase disabled,02/2020,3,0
6.89%,618260,Endurance,Purchase disabled,04/2021,,0
6.88%,612240,Tank games Zoo War: Battle Royale online,F2P (unavailable),09/2022,,?
6.88%,688450,Old Adventure,Purchase disabled,06/2019,,17
6.87%,894920,ZKILLER,F2P (unavailable),10/2020,,?
6.85%,234980,Legends of Dawn,Delisted,,,?
6.85%,475470,Global Soccer: A Management Game,Delisted,06/2020,4.28,50
6.85%,1186320,Catch The Ball 3,F2P (unavailable),04/2021,,?
6.85%,1276730,Undungeon Arena,F2P (unavailable),11/2021,,?
6.85%,1505240,Tales From Yeoldeburg,F2P (unavailable),12/2021,,8
6.85%,1982750,WONDER POT - Texas Holdem,F2P (unavailable),11/2022,,?
6.84%,33750,Prison Tycoon 4: Supermax,Purchase disabled,12/2019,25.51,0
6.84%,1359080,Dragon Drop: Tabletop Multi-tool,F2P (unavailable),06/2022,,?
6.84%,1639500,Red Crucible: Able Archer,F2P (unavailable),08/2022,,?
6.83%,473050,UnderWater Adventure,Purchase disabled,08/2018,1.65,11
6.82%,412310,Labyrinth,F2P (unavailable),11/2019,,0
6.82%,987450,???? OL / ???? ?? / Embrace the Three Kingdoms OL,F2P (unavailable),03/2022,,0
6.82%,1251560,Buck Bradley: Comic Adventure,F2P (unavailable),03/2022,,?
6.81%,838430,Galaxy Ball,Purchase disabled,01/2022,,9
6.81%,907890,The Cat and the Coup (4K Remaster),Purchase disabled,03/2019,346.93,?
6.81%,2477440,Shire Scopes,F2P (unavailable),09/2023,,?
6.81%,1390060,Ghosty,F2P (unavailable),04/2022,,62
6.81%,1601830,Scoober Splat,F2P (unavailable),10/2022,,?
6.79%,970370,Gala Collider,F2P (unavailable),10/2021,,?
6.78%,1378010,Eyes of The Mirror,F2P (unavailable),06/2021,,7
6.78%,298890,Adventure Time: The Secret Of The Nameless Kingdom,Delisted,04/2018,197.04,35
6.78%,320890,The Chronicles of Narnia - Prince Caspian,Delisted,06/2015,46.39,?
6.78%,1339810,Slimey Champions,F2P (unavailable),11/2021,,?
6.77%,390540,High Fidelity,F2P (unavailable),01/2020,,0
6.77%,729740,JigsawMania,Purchase disabled,08/2020,3.43,24
6.77%,1898320,RIFT,F2P (unavailable),03/2023,,?
6.76%,431870,Castle Torgeath,Purchase disabled,01/2021,,14
6.76%,236470,PAC-MAN MUSEUM,Purchase disabled,07/2020,8.26,12
6.75%,316950,War Operations,Delisted,01/2023,,0
6.75%,1257560,Make Your Kingdom: Prologue,F2P (unavailable),02/2022,,8
6.75%,2183540,Knight vs Giant: The Broken Excalibur Prologue,F2P (unavailable),06/2023,,?
6.73%,9860,The Chronicles of Riddick: Assault on Dark Athena,Delisted,,14.24,0
6.73%,319550,The Collider,Purchase disabled,11/2019,,24
6.73%,1144740,Artificial Iridescence,F2P (unavailable),02/2022,,?
6.73%,1332610,TeamJumpers,F2P (unavailable),09/2021,,6
6.73%,1524370,Astellia Royal,F2P (unavailable),10/2021,,45
6.73%,265400,FX Football - The Manager for Every Football Fan,Delisted,,5.9,19
6.73%,742120,DRAGON QUEST© XI: Echoes of an Elusive Age?,Purchase disabled,12/2020,,58
6.73%,755770,YouTube VR,F2P (unavailable),12/2020,,0
6.72%,528940,Birthright Cataclysm - Overture,F2P (unavailable),06/2022,,?
6.71%,640850,Azorian Kings,Purchase disabled,03/2022,,45
6.70%,300200,Urban Legends,Delisted,11/2016,,?
6.70%,912930,Insurgence - Chains of Renegade,Purchase disabled,11/2022,,?
6.70%,1396930,The Unreal Story,F2P (unavailable),10/2021,,6
6.70%,2484450,Edge Of Dead Prologue,F2P (unavailable),11/2023,,?
6.69%,308520,Minimon,Purchase disabled,02/2023,,39
6.69%,494160,Lionheart,Purchase disabled,02/2019,21.32,21
6.68%,3220,SpaceForce: Rogue Universe,Delisted,,,?
6.68%,362060,Construct: Embers of Life,F2P (unavailable),11/2020,,0
6.68%,1445050,Keywords of A Life,F2P (unavailable),06/2021,,?
6.66%,1456590,Monogon: Echoes,F2P (unavailable),12/2021,,11
6.66%,1843420,Motorcycle Travel Simulator,Purchase disabled,05/2023,,?
6.65%,807780,Mahjong Classic,Purchase disabled,01/2022,,42
6.65%,1928640,????,F2P (unavailable),09/2022,,?
6.63%,811240,Don't Stand Out,Purchase disabled,11/2021,,8
6.63%,917610,The Story of My Life,Purchase disabled,04/2021,,17
6.63%,1255520,RaidLand,F2P (unavailable),10/2021,,12
6.62%,655020,Unreal Estate,Purchase disabled,11/2019,2.12,12
6.62%,1172950,Yandere Escape,F2P (unavailable),06/2021,,4
6.60%,805110,P.A.S.,F2P (unavailable),10/2020,,?
6.60%,914030,B. Braun Aesculap Spine VR,F2P (unavailable),03/2022,,?
6.59%,1800640,May God Forgive Us,F2P (unavailable),08/2022,,?
6.58%,259430,Zigfrak,Purchase disabled,06/2018,,2
6.58%,1480340,A traveler's photo album,Purchase disabled,05/2023,,12
6.58%,956780,x2Roulette,F2P (unavailable),03/2022,,0
6.58%,1757870,Spirit Overflow,F2P (unavailable),08/2022,,?
6.57%,210150,Pole Position 2012,Delisted,05/2017,5.52,?
6.57%,793680,Fission Superstar X,Purchase disabled,07/2023,,33
6.57%,1796380,GunRunner,F2P (unavailable),06/2022,,14
6.56%,402710,Osiris: New Dawn,Purchase disabled,05/2023,,0
6.55%,2214710,????Combat For General,F2P (unavailable),03/2023,,?
6.55%,515740,Radical Heroes: Crimson City Crisis,Purchase disabled,09/2022,,12
6.55%,975030,Abandoned,F2P (unavailable),10/2021,,0
6.55%,1501360,????Happy Poker,F2P (unavailable),07/2022,,?
6.54%,950180,Lemnis Gate,Purchase disabled,04/2023,,31
6.53%,1034930,Nine Witches: Family Disruption - Prologue,F2P (unavailable),06/2021,,?
6.52%,2256720,Elder Trial?Prologue,F2P (unavailable),02/2023,,?
6.50%,892690,Daemon 9,Purchase disabled,04/2023,,?
6.50%,1674470,ELYON,F2P (unavailable),09/2022,,?
6.50%,1269720,????HeroRagingFire,F2P (unavailable),06/2022,,10
6.48%,530350,Smashbox Arena,Purchase disabled,07/2023,,0
6.48%,1829030,Paunch 2,F2P (unavailable),07/2022,,?
6.48%,384210,Quadle,Purchase disabled,08/2019,1.76,6
6.48%,712410,Cirque du Soleil,F2P (unavailable),10/2021,,0
6.47%,960130,Galaxity Beta,F2P (unavailable),02/2022,,?
6.46%,562590,Galactic Junk League,F2P (unavailable),01/2019,,52
6.45%,831520,Jurassic City Walk,Purchase disabled,03/2022,,16
6.45%,994560,Metal Revolution,Unreleased,12/2018,,?
6.45%,820580,Ashley: The Story Of Survival,Purchase disabled,01/2022,,38
6.45%,1927310,????,F2P (unavailable),09/2022,,?
6.45%,1933590,Trails of Illusion,F2P (unavailable),08/2022,,?
6.43%,570910,Crazy Max VR,Purchase disabled,12/2019,1.92,21
6.43%,1512890,I Am Robot,F2P (unavailable),04/2021,,?
6.42%,2353430,????,Purchase disabled,07/2023,,?
6.42%,1424010,Slaves of Magic prelude,F2P (unavailable),05/2022,,?
6.41%,1883950,The Celestra,F2P (unavailable),09/2022,,?
6.40%,807830,Pottery Crafts: Hand-Made Simulator,Purchase disabled,01/2022,,14
6.40%,1474430,Stars Survivor,F2P (unavailable),12/2021,,?
6.39%,561110,Disney's The Jungle Book,Purchase disabled,07/2019,1.25,0
6.39%,802020,Acute Art VR Museum,F2P (unavailable),09/2021,,0
6.38%,1942550,VOSS Turbo,F2P (unavailable),09/2022,,14
6.38%,2066660,Wits of Gods - Prologue,F2P (unavailable),11/2022,,?
6.38%,2207020,Bio Prototype:Prologue,F2P (unavailable),12/2022,,?
6.37%,301740,Castle: Never Judge a Book by its Cover,Purchase disabled,07/2018,,0
6.37%,695690,Ancient Siberia,Purchase disabled,04/2022,,0
6.37%,1157560,Arcane Showdown,F2P (unavailable),05/2021,,92
6.37%,494320,Wizrogue - Labyrinth of Wizardry,Purchase disabled,12/2020,1.61,237
6.37%,1421970,Time Loader Prologue,F2P (unavailable),11/2021,,?
6.36%,616710,Warlords: Age of Shadow Magic,F2P (unavailable),01/2023,,?
6.36%,893040,Jelly Wants More,Delisted,10/2019,140.41,?
6.36%,1044310,Topless Hentai Mosaic,Purchase disabled,01/2022,,100
6.35%,283100,Colonies Online,Purchase disabled,10/2021,,0
6.35%,937730,Lady's Hentai Mosaic,Purchase disabled,01/2022,,100
6.35%,295850,Vlad the Impaler,Purchase disabled,01/2021,129.32,30
6.35%,300760,EPSILON,Purchase disabled,05/2023,,4
6.35%,386400,Foosball: World Tour,Purchase disabled,08/2021,,12
6.34%,242610,Grappledrome,Purchase disabled,12/2018,3.6,0
6.34%,588010,Red String of Fate,F2P (unavailable),06/2018,,4
6.33%,255420,Magic 2015,Purchase disabled,12/2020,,35
6.33%,807770,Frequent Flier: A Long Distance Love Story,Purchase disabled,04/2022,,4
6.32%,844290,Sniper Squad Mission,Purchase disabled,01/2022,,6
6.32%,1419090,MVorpheus,F2P (unavailable),05/2022,,?
6.32%,589770,Green Elephant 2D,Purchase disabled,03/2023,,0
6.30%,108100,Adam's Venture Episode 1: The Search For The Lost Garden,Delisted,,,17
6.30%,261350,Steam Bandits: Outpost,Purchase disabled,02/2021,,0
6.29%,411540,Hybrid Wars,Purchase disabled,05/2020,5.22,32
6.29%,672040,WarFallen,Purchase disabled,12/2021,,83
6.28%,214310,Adam's Venture Episode 3: Revelations,Delisted,,,15
6.28%,440870,Mysteries of the Past: Shadow of the Daemon Collector's Edition,Purchase disabled,10/2022,,0
6.25%,258030,Earthlock: Festival of Magic,Delisted,03/2018,1.11,25
6.25%,1282930,Volta-X,Purchase disabled,08/2022,,26
6.25%,1883030,Karagon: Prologue,F2P (unavailable),07/2022,,?
6.24%,1312150,Charlie | The Legend,F2P (unavailable),03/2022,,30
6.24%,492660,Featherpunk Prime,Delisted,08/2017,,23
6.24%,1391220,Scrapnaut: Prologue,F2P (unavailable),05/2021,,10
6.22%,1682130,?????,F2P (unavailable),06/2022,,?
6.22%,210390,Adam's Venture Episode 2: Solomon's Secret,Delisted,,,17
6.22%,786630,MY 1980's DASHBOARD,Purchase disabled,07/2022,,38
6.22%,829390,Kitten Life Simulator,Purchase disabled,01/2022,,14
6.22%,993870,CODE2040,F2P (unavailable),11/2021,,77
6.22%,1795020,Tank Mechanic Simulator VR: Prologue,F2P (unavailable),08/2022,,?
6.22%,2388680,Monospaced Lovers: Prologue,F2P (unavailable),10/2023,,?
6.21%,395150,Dark Storm VR Missions,Purchase disabled,07/2018,,0
6.21%,811860,Cross And Crush,Purchase disabled,03/2022,,35
6.21%,1431340,SOL Cycling,F2P (unavailable),05/2022,,?
6.21%,2426750,Cold Dead Hands,F2P (unavailable),07/2023,,?
6.20%,1282600,Mayhem in Single Valley: Confessions,F2P (unavailable),05/2021,,0
6.19%,1090420,Astralojia: Episode 1,F2P (unavailable),07/2021,,?
6.19%,2153990,LandBox,F2P (unavailable),12/2022,,?
6.17%,214230,Family Guy?: Back to the Multiverse,Delisted,,52.99,?
6.17%,447500,Shattered Skies,Delisted,02/2018,,?
6.17%,611320,Think To Die 3,Purchase disabled,03/2023,,15
6.17%,875250,Recursive Dragon,Purchase disabled,01/2022,,11
6.17%,1535480,the office simulation,F2P (unavailable),12/2021,,?
6.16%,815240,Forest Harvester Simulator,Purchase disabled,03/2022,,9
6.15%,498390,Remnants Of The Arcane,Delisted,11/2019,23.71,0
6.15%,564070,Troll and I?,Purchase disabled,04/2022,,27
6.15%,793950,????,F2P (unavailable),10/2021,,?
6.14%,876860,Magic Chess,Purchase disabled,01/2022,,?
6.14%,1394690,Kaku Ancient Seal (Alpha),F2P (unavailable),05/2021,,?
6.14%,658320,Oldage,F2P (unavailable),11/2018,,24
6.13%,854310,Rise of Crustaceans,Purchase disabled,03/2021,2.29,0
6.13%,1603190,Long Ago: A Puzzle Tale - Demo Version,F2P (unavailable),03/2022,,5
6.13%,1780330,Element Quest,F2P (unavailable),02/2022,,16
6.11%,208860,Mad Riders,Delisted,07/2017,3.03,?
6.11%,689570,BattleCore Arena,Delisted,02/2022,,23
6.11%,847630,Commanager Tycoon,Purchase disabled,08/2020,24.42,8
6.10%,239720,PAC-MAN? and the Ghostly Adventures,Purchase disabled,07/2020,,25
6.10%,977650,DwarfHeim,Purchase disabled,11/2023,,32
6.09%,209340,Ride to Hell: Retribution,Delisted,,55.9,?
6.09%,281130,Raven's Cry,Delisted,,,?
6.09%,760210,Operation Antiterror,Delisted,02/2018,,?
6.09%,786850,Roun,F2P (unavailable),03/2021,,0
6.08%,406280,DesertLand 2115,Purchase disabled,12/2020,,0
6.08%,914250,Deadly Burrito,F2P (unavailable),09/2021,,?
6.07%,1833810,Last Days of Lazarus - Prologue,F2P (unavailable),06/2022,,10
6.07%,2370510,Deadlink: Prologue,F2P (unavailable),09/2023,,?
6.06%,844300,Demolition Engineer,Purchase disabled,01/2022,,15
