company_name,count
Purple Tree,1
2tainment,1
Navel,1
Dream Harvest Games,1
Tin Man Games,1
Freedom Factory,1
SOF Studios Ltd,1
Zoryth Games,1
Team Chaos LLC,1
Platonic Game Studio,1
Skyshine Games,1
BS STUDIOS,1
Krenliper,1
N3V Games,1
Freejam,1
Sony Online Entertainment,1
ECool Game,1
Eko,1
Sam Barlow,1
You Run Ltd,1
Greystone Games,1
A-line Games,1
Tatem Games,1
12210,1
Minibeast,1
Devespresso Games,1
Yager Development,1
FOAM Entertainment,1
Reto-Moto,1
Oozoo,1
Cyan Worlds,1
Roll7,1
Starlight Studios,1
"Dracue, Co. ltd",1
Stunlock Studios,1
Juncture Media,1
North Modding Company,1
Arcen Games,1
Space Indie Studios,1
PDS Games,1
Zulubo Productions,1
Ludosity,1
Lightbulb Crew,1
NetherRealm Studios,1
K Bros Games,1
"GungHo Online Entertainment America, Inc.",1
Recoil Games,1
INTERMARUM,1
One More Level,1
Resolution Games,1
Umix Studios,1
Demiurge Studios,1
Giants Software,1
SuperVillain Studios,1
Hellbent Games,1
Iron Mountain Interactive,1
Struckd AG,1
Nomad Apps,1
Red Meat Games,1
Crafty Game Lab,1
Wreck Tangle Games,1
Motiga,1
VAR LIVE International Ltd,1
Pwnee Studios,1
Wansee Entertainment,1
"Reverie World Studios, INC",1
Wargaming.net,1
Ntreev Soft,1
UltraDarthVader,1
UltraDarthVade,1
Ankama Games,1
Wild Grip,1
b-alive,1
Cubical Drift,1
Sigil Entertainment,1
Challenging Games,1
Gutter Arcade,1
Floating Origin Studios,1
Sauropod Studio,1
Mathieu,1
JWaffle Games,1
FlamingLunchBox,1
Tiger and Squid,1
Rail Slave Games,1
Jaded Lancer,1
The Wave VR Inc.,1
Power Level Studios,1
Eforb,1
Dared Gaming Studios,1
Disruptive Games,1
Fishmoose Interactive,1
Climax Studios,1
Waïju,1
Kyodai,1
NGD Studios,1
Red Candle Games,1
8-bit Studio,1
Mythical City Games,1
Brok3nsite,1
Wevr,1
Nvius,1
