rating_range,count
"27.629 - 30.836",1
"30.836 - 33.98",0
"33.98 - 37.124",0
"37.124 - 40.268",4
"40.268 - 43.412",0
"43.412 - 46.556",0
"46.556 - 49.7",0
"49.7 - 52.844",2
"52.844 - 55.988",10
"55.988 - 59.131",3
"59.131 - 62.275",16
"62.275 - 65.419",18
"65.419 - 68.563",27
"68.563 - 71.707",54
"71.707 - 74.851",46
"74.851 - 77.995",70
"77.995 - 81.139",40
"81.139 - 84.283",29
"84.283 - 87.427",25
"87.427 - 90.57",36
